"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.87794673385263/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x915669912ed32eeff7afda95d83877bcf9bcf8927406f4ced9280eb6065ad7ff","55357551","1712054697","2024-04-02 10:44:57","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.053228624","0.0467318965882697","0.90","","","Mint With Token URI"
"0xb7f2841eacca397e2ef43e5d2605b6fb2092d89639334c2f035b7052ca624c58","55359476","1712059333","2024-04-02 12:02:13","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.038775012","0.0340423951404965","0.90","","","Mint With Token URI"
"0x59ec9f959d296e7aa08ed1593a5eca1e74dc25cdbee05ae57656bd1fc5679a0f","55361586","1712064239","2024-04-02 13:23:59","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.062995344","0.0553065565127229","0.90","","","Mint With Token URI"
"0x7889795236a5a846d066a9d0fb647c0c701b8ce29d722641d0102b698dd2f7c2","55363761","1712069185","2024-04-02 14:46:25","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.05127528","0.0450169646033791","0.90","","","Mint With Token URI"
"0x4db15cb7e19ad4335a0ebb16036ac9949f99eb900c8992ca47697bc462f1480e","55366083","1712074557","2024-04-02 16:15:57","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.060797832","0.0533772580297209","0.90","","","Mint With Token URI"
"0x2bd8ab623178f549215e3d147c301d07fd1c32ba3f1a998be74ab5ce92454d97","55369486","1712082653","2024-04-02 18:30:53","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.02685848","0.0235803147922462","0.90","","","Mint With Token URI"
"0xa4089a34502b65e78b2342531f53183dfc6ce148618da51f99d1a46c376f1605","55370263","1712084453","2024-04-02 19:00:53","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.00994664","0.00873262010080792","0.90","","","Safe Transfer"
"0xad3b75fe1ba6baa1c976d4b2aca42c31f78dbdc67d14f71ebdd654db5782b431","55373540","1712092016","2024-04-02 21:06:56","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.026581612","0.0233372394359379","0.90","","","Mint With Token URI"
"0x34025b80b9cc2a023bf35746b4452739e390d3480d77b545230cc0bc80acec2f","55373701","1712092390","2024-04-02 21:13:10","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.024913468","0.021872697859542","0.90","","","Mint With Token URI"
"0xf4bab6c4cf551ac53782356e591238902466be238913260bef952e034da2de35","55373793","1712092586","2024-04-02 21:16:26","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.024660968","0.0216510163092442","0.90","","","Mint With Token URI"
"0x1d7784bad8696df7d9014d4017ee67e16853b9df50ee26aa5b1561c02de33c78","55375378","1712096056","2024-04-02 22:14:16","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.014894248","0.0130763563847911","0.90","","","Mint With Token URI"
"0xbf5acc31122c698b2c149a347a3f776b006ea2dd413f870b93d9179855ce44b0","55375484","1712096281","2024-04-02 22:18:01","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.005335016","0.00468385987225152","0.90","","","Safe Transfer"
"0xff0a97b200cf70540d811a5a0f4adecac12d288c6c3fa032b054c257cb48c35b","55375890","1712097193","2024-04-02 22:33:13","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.019777608","0.0173636863470176","0.90","","","Mint With Token URI"
"0x554cbb6e17fd6af310de9be5957157025440d42c1c1d79b8b6d9ac02c0ccfa45","55377984","1712102045","2024-04-02 23:54:05","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.019289272","0.016934953350795","0.90","","","Mint With Token URI"
"0x625230b810150a8f46f643a65af12f689fe45dc390f7f599c5891ca263019f94","55378137","1712102369","2024-04-02 23:59:29","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.008499856","0.00746242081341768","0.90","","","Safe Transfer"
"0x778d513b5d1c711a9d6cc72e8e7a7b9122537bfbcfb7716885ee38c7445f9e0a","55378884","1712104047","2024-04-03 00:27:27","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.0244168","0.0214366498111329","0.90","","","Mint With Token URI"
"0x4ed09b737fa7cfd8d3d8c6c4ba6b37c6527d4175173fce6840f257625129ecad","55379652","1712105775","2024-04-03 00:56:15","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.036136864","0.0317262417204767","0.90","","","Mint With Token URI"
"0xeb986c74d3f11522b47afe5a26796f8306681aced07be70eeb77c14aa538320e","55386315","1712120861","2024-04-03 05:07:41","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.027102648","0.0237946812903575","0.90","","","Mint With Token URI"
"0xec7c0a5a6df0950df851ecbf578498af8aa9285dd3939e814ffbd2e9eb0dcf70","55386336","1712120907","2024-04-03 05:08:27","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.008359268","0.00733899203799881","0.90","","","Safe Transfer"
"0x73a0e3f75e8e10326f974db14fe7b9c1743a9cd8177ee1168761869f8d62f704","55387533","1712123552","2024-04-03 05:52:32","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.029107502","0.0255548363115089","0.90","","","Safe Transfer"
"0x9cf844b23e73a5171af195fc7b42f8c65152b1494c95d49fe2d01b2efc67b0a8","55397070","1712144815","2024-04-03 11:46:55","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.027102648","0.0237946812903575","0.90","","","Mint With Token URI"
"0x6208e4dc00961352e9eb96ec394f33e5b4e435643df556b42fa677e4406c04c5","55397144","1712144973","2024-04-03 11:49:33","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.009583672","0.0084139535307149","0.90","","","Safe Transfer"
"0x87b3457bd36822f2b9f9132343a679e1ac6a1efa839821cea98ee6228667f995","55397669","1712146153","2024-04-03 12:09:13","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.026125976","0.0229372152979122","0.90","","","Mint With Token URI"
"0x8a7b3096777a6fb8b06f51e5c5dbb223e3fc8e3e4bd84093de3651d4967193e1","55399130","1712149523","2024-04-03 13:05:23","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.039555216","0.0347273726940353","0.90","","","Mint With Token URI"
"0xe9cc4a7e180b20a706e211b1f34de7a79101b54fb40bc1b52c5d2183706213bd","55399172","1712149613","2024-04-03 13:06:53","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.037357704","0.0327980742110333","0.90","","","Mint With Token URI"
"0x601558b4d97b8c0088657e2e58754ca5143f1a6adb9e771c8f2041764203a50a","55400183","1712152081","2024-04-03 13:48:01","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.055253632","0.0485097457478952","0.90","","","Mint With Token URI"
"0x63d2687da6a36a0196c530191d2fdff1fbc34d2436d2587ae557d35dd2da4e8c","55401851","1712156195","2024-04-03 14:56:35","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.069099544","0.0606657189655061","0.90","","","Mint With Token URI"
"0x7f957eae16b378cd8e34002c9a4cc0f2776410333f68a4e95abb151504ea9876","55401874","1712156253","2024-04-03 14:57:33","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.061530336","0.0540203575240549","0.90","","","Mint With Token URI"
"0x036092b53ac4b73cf4a17ab04d141ff2020a6d636bfe41e29500adc3466e8fb8","55401940","1712156393","2024-04-03 14:59:53","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.061774504","0.0542347240221662","0.90","","","Mint With Token URI"
"0x4ebf9c5274375f409f3e8009a1d6f19e9f6ac2e70f7eea8d13f7d6486137954f","55405420","1712164848","2024-04-03 17:20:48","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.053407092","0.0468885819859669","0.90","","","Mint With Token URI"
"0x447825f0d7c535afb7242be6c52e6b03148468bb897b9c2aa9fb16528bbefa45","55406856","1712168078","2024-04-03 18:14:38","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.060553664","0.0531628915316096","0.90","","","Mint With Token URI"
"0x7df43e19ba237abdaffd1cfb6fb9588fe47ff3e0ef7f93a6ee7526c06f6050df","55410606","1712177229","2024-04-03 20:47:09","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.057552848","0.0505283349255169","0.90","","","Mint With Token URI"
"0xb4a8dff307ea1907ee8efe80f7ca114ed40f042609522fe03c81487713af8018","55411213","1712178835","2024-04-03 21:13:55","0xcbea2edbb5f0c8dd51e1d3941ab8a93ce6e958d8","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.009961337545513472","0.00874552376288713","0.90","","","Transfer From"
"0xfd7469e94f91d82d6dfddf666f0b5c47e010ecd5b1a1fd7ec374257de45d8e8f","55411652","1712179811","2024-04-03 21:30:11","0xcbea2edbb5f0c8dd51e1d3941ab8a93ce6e958d8","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.004560271630804134","0.0040036755837453","0.90","","","Set Approval For All"
"0x14ff89859c33c30b48c1be727340cb3c53b240a615fd77814c6f354b54fcb933","55412071","1712180770","2024-04-03 21:46:10","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.032560176","0.0285861001728668","0.90","","","Mint With Token URI"
"0xe0e35ccc93d132af86252903bef3a6a5fde95c3bb87f735e270bb59d769aead8","55413377","1712183706","2024-04-03 22:35:06","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.032434444","0.028475714174126","0.90","","","Mint With Token URI"
"0xc2768f0db1fb499381bc39c70a27c186f83047e4b2186c2c3a258f2149ad0872","55417012","1712191922","2024-04-04 00:52:02","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.02194812","0.0192692802682056","0.91","","","Mint With Token URI"
"0xf01eefa639e258652887a27ee1f2a7c9b8e7f6a4d6a99afbbe35169067d39eb4","55417201","1712192359","2024-04-04 00:59:19","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.0246668","0.0216561364945961","0.91","","","Mint With Token URI"
"0xcaa0e2c2e879b706709fd79014eed2724634b0d2d09eb72c9b87b391d0209300","55417384","1712192786","2024-04-04 01:06:26","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.028120152","0.0246879956038395","0.91","","","Mint With Token URI"
"0x826aefe98f7dd5aa881a9a86632c56256f08bd7e6c88e2a064b8a1df1195d34d","55421849","1712203135","2024-04-04 03:58:55","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.028323488","0.0248665137809142","0.91","","","Mint With Token URI"
"0x61d4c95ac68484a9e0c1cb2b25a2cd40f33390988b67aa6bd30155b49ff0ad55","55421926","1712203299","2024-04-04 04:01:39","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.011122152","0.0097646570218125","0.91","","","Safe Transfer"
"0x65c8e9489bd246e9ddf44fa739ed1c3a69b14b4c5a81547f08789033230ea6c9","55422301","1712204159","2024-04-04 04:15:59","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.030276832","0.0265814457658048","0.91","","","Mint With Token URI"
"0xa86cd38d5db964b2fdd9b2bdae67f763b3ecaad374e68d3e5acd6fd2e19561ee","55425247","1712210972","2024-04-04 06:09:32","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.043164636","0.0378962511941376","0.91","","","Mint With Token URI"
"0xc6cf03d975260c54cb7d31320eddc5a3a81ea92317c72cd5ac71f01b1ee259a9","55425361","1712211248","2024-04-04 06:14:08","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.043413568","0.0381148002304891","0.91","","","Mint With Token URI"
"0x94d87ac5e935bb06f5d1a127eb9bcf5fd3077aea11e85853c6371fffbf5e5488","55425845","1712212320","2024-04-04 06:32:00","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.017424214","0.0152975317712493","0.91","","","Safe Transfer"
"0x219862c863d9aea7efdda6721f59f7608b9e47894ce2f1a1958efa8694695708","55426678","1712214206","2024-04-04 07:03:26","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.070564552","0.0619519179541741","0.91","","","Mint With Token URI"
"0x3bf6594ad8e6d50d0e5ae1360c670777638e66ac17ba996a15848313e635d424","55432914","1712228776","2024-04-04 11:06:16","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.044438576","0.0390147026562619","0.91","","","Mint With Token URI"
"0x699dcbb7c3b12a33dd251dcd8bcf324d0c291986dcbbde650f06c140f31e4fd6","55433803","1712231054","2024-04-04 11:44:14","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.049505204","0.0434629321605082","0.91","","","Mint With Token URI"
"0xb394e09d676d9fc1a1b4db8024f75b0dc45c6e5e82557f5d9a6abae885beff26","55433990","1712231484","2024-04-04 11:51:24","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.035273524","0.0309682751872724","0.91","","","Mint With Token URI"
"0x3e4ef62c1142626b3b48b847d2dddedfbb210419970e5f125630e385ed1bc25a","55437247","1712239684","2024-04-04 14:08:04","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.07681842","0.0674424809387195","0.91","","","Mint With Token URI"
"0x01057d160b06247e21f508d699e1c0dab920909033d9c744cda16da8f52c44ad","55438761","1712243066","2024-04-04 15:04:26","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.04389624","0.0385385605364112","0.91","","","Mint With Token URI"
"0xb51b02a35bdce154918b25d4b065d25d2d8262e4fd1eaec6d806959ac5415a58","55438815","1712243212","2024-04-04 15:06:52","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.046636088","0.0409440011392638","0.91","","","Mint With Token URI"
"0xc3089c480ac4b2b85f57d77d494495c37e42092eef95ceb822784aa4cb4075d3","55439975","1712245851","2024-04-04 15:50:51","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.03206684","0.0281529774429749","0.91","","","Mint With Token URI"
"0x903676c130e732ddbf548034dd7a91a90be22a815a8ef9ed46fd3bff996e7ffc","55444325","1712255769","2024-04-04 18:36:09","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.01193481","0.0104781274586517","0.91","","","Safe Transfer"
